,iloc,distance
496,4,1.5005604294063781
497,1,3.2506422635050916
498,3,3.598214475338199
499,3,2.8986190053668737
500,3,1.4927926813668992
501,2,29.657849465358357
502,3,5.440094742265629
503,3,1.42237760498271
504,3,1.6087717193782052
505,3,3.1669902817369224
506,3,1.7956024826686432
507,2,15.33149886161155
508,4,1.558994528356257
509,3,4.016392959705962
510,3,1.9654704022531142
511,2,8.804268416762811
512,1,3.1797611387227978
513,3,2.9395067250326585
514,3,3.281009512480885
515,3,4.32788407389403
516,4,1.9087276701316542
517,4,4.669411749360147
518,3,4.466833745633768
519,0,3.746317000918683
520,1,7.351105645423314
521,3,3.351399040554666
522,4,2.0661316375827914
523,3,1.599911827299601
524,2,3.728762296148523
525,4,1.5193322930461939
526,1,4.223307836125746
527,1,3.9030031055581356
528,3,1.4608541322911979
529,3,2.549693651851742
530,3,1.4616961831801005
531,3,1.945726479401473
532,4,1.572572008727203
533,3,2.038043631529736
534,3,3.839992795346194
535,4,5.65719240384985
536,2,2.6509597305719588
537,1,4.156506510607255
538,4,2.513108478145298
539,1,5.058509115896791
540,3,2.2348952401940605
541,4,4.058148606101638
542,1,16.179707147623155
543,4,4.589812676471972
544,2,5.695797321100647
545,3,3.9110073375249286
546,2,5.783701639346132
547,3,2.407838682065188
548,3,5.39197154438977
549,4,4.525687826952082
550,2,33.043695393565855
551,2,5.119039261970332
552,1,3.5736510537662034
553,3,3.258514456989552
554,1,3.990249109286178
555,3,1.974300041507207
556,4,1.9035781406453263
557,1,7.3192865209393165
558,1,2.4938359770316754
559,4,1.3539266079076475
560,2,8.568652521184443
561,4,1.3557581986185476
562,4,3.650550295732062
563,2,4.803741169083562
564,4,1.5049277425279075
565,2,5.473763758727142
566,3,4.135725363712683
567,0,5.568873557587694
568,4,3.047197155382261
569,1,3.9001809931429796
570,4,2.03538302195906
571,4,4.78059698110504
572,4,1.9350130097871456
573,4,4.503435576221965
574,2,6.14711061500214
575,4,1.6995930472029401
576,1,3.295686010062583
577,1,3.10522085433781
578,4,2.551994344787917
579,4,2.188236771202623
580,4,2.1287238611574786
581,3,4.604629255654083
